variant,scenario,algorithm,distance_km,wait_min,probability_of_delay,reserved_parallel,reservation_starts,price_pence_per_kwh,runtime_ms,reservation_accepted,load_multiplier,lambda_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost,battery_level_percent,battery_capacity_kwh
baseline_equal,urban,nearest,0.1423,40.0,0.5,0,0,55.0,0.6870459983474575,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,cost_optimized,0.317,2.6666666666666665,0.09999999999999999,0,0,55.0,2.074939002341125,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,queue_aware,0.9843,7.234400540521811e-10,1.71817012837393e-10,0,0,55.0,5.209548005950637,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,static_queue,0.9843,7.234400540521811e-10,1.71817012837393e-10,0,0,55.0,4.171777996816672,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,dijkstra,0.317,2.6666666666666665,0.09999999999999999,0,0,55.0,80.69308799895225,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,range_aware,1.2429000000000001,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.6376089988625608,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.050645004120623,40.0
baseline_equal,urban,nearest,0.22069999999999998,0.020629190304280558,0.0018050541516245488,0,0,55.0,0.742848998925183,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,cost_optimized,0.22069999999999998,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.9048270041821525,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,queue_aware,0.22069999999999998,0.24242424242424243,0.015151515151515152,1,0,55.0,1.8798259989125654,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,static_queue,0.22069999999999998,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.481198996771127,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,dijkstra,0.22069999999999998,0.020629190304280558,0.0018050541516245488,0,0,55.0,48.73815500468481,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,range_aware,3.9614000000000003,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,2.386358995863702,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,14.113169516776122,40.0
baseline_equal,urban,nearest,0.5558,0.24242424242424243,0.015151515151515152,0,0,55.0,0.7030470005702227,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,cost_optimized,0.5558,0.24242424242424243,0.015151515151515152,0,0,55.0,1.5617050012224354,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,queue_aware,0.5558,0.24242424242424243,0.015151515151515152,0,0,55.0,1.873324996267911,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,static_queue,0.5558,0.24242424242424243,0.015151515151515152,0,0,55.0,1.4068939999560826,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,dijkstra,0.7592000000000001,2.6666666666666665,0.09999999999999999,0,0,55.0,43.74732099677203,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,range_aware,4.0201,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.5354019997175783,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,26.816989862333234,40.0
baseline_equal,urban,nearest,0.2685,40.0,0.5,0,0,55.0,0.7867530002840795,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,cost_optimized,0.7001000000000001,3.956997871409991e-14,1.2365618348156221e-14,0,0,55.0,1.5740060043754056,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,queue_aware,0.7001000000000001,3.956997871409991e-14,1.2365618348156221e-14,0,0,55.0,1.865425001597032,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,static_queue,0.7001000000000001,3.956997871409991e-14,1.2365618348156221e-14,0,0,55.0,1.450696996471379,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,dijkstra,0.7958999999999999,40.0,0.5,0,0,55.0,45.76705599902198,0,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,range_aware,3.3663000000000003,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.621707997401245,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,13.039057583210296,40.0
baseline_equal,urban,nearest,2.0225999999999997,0.020629190304280558,0.0018050541516245488,0,0,55.0,0.7229480033856817,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,cost_optimized,2.0225999999999997,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.6256090020760894,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,queue_aware,2.0225999999999997,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.879424999060575,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,static_queue,2.0225999999999997,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.459697996324394,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,dijkstra,2.0225999999999997,0.020629190304280558,0.0018050541516245488,0,0,55.0,49.549908995686565,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,range_aware,4.0896,5.002061109666476e-25,2.438504790962407e-25,0,0,55.0,1.596106005308684,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.4122808677145,40.0
baseline_equal,urban,nearest,0.3936,40.0,0.5,0,0,55.0,0.7139469962567091,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
baseline_equal,urban,cost_optimized,0.597,0.24242424242424243,0.015151515151515152,0,0,55.0,1.5610039990860969,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
baseline_equal,urban,queue_aware,0.7535,0.020629190304280558,0.0018050541516245488,0,0,55.0,1.8588239981909283,1,1.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,10.34103810154951,40.0
