variant,algorithm,mean_wait_min,mean_distance_km,acceptance_rate
baseline_equal,cost_optimized,0.49483416513617917,3.606666,0.96
baseline_equal,dijkstra,21.345580131311817,3.5631826666666666,0.66
baseline_equal,nearest,15.458933347507088,3.3804573333333336,0.69
baseline_equal,queue_aware,0.06407144653800233,3.827118666666667,1.0
baseline_equal,range_aware,0.01777777778260124,5.825808333333334,1.0
baseline_equal,static_queue,0.06105668015044623,3.713624,0.99
distance_priority,cost_optimized,1.4659714446219951,3.6485740000000004,0.8533333333333334
distance_priority,dijkstra,21.85041915113982,3.7417266666666666,0.6366666666666667
distance_priority,nearest,15.190048387787632,3.549197,0.6533333333333333
distance_priority,queue_aware,0.05940838896119009,3.9983933333333335,1.0
distance_priority,range_aware,1.9291866674654366e-11,6.138918666666667,1.0
distance_priority,static_queue,0.05235805513371701,3.894905666666667,0.9866666666666667
erlang_sensitivity,cost_optimized,141338.49763947702,3.6602782000000005,0.8213333333333334
erlang_sensitivity,dijkstra,206021.396800835,3.701776866666667,0.6293333333333333
erlang_sensitivity,nearest,142016.31385898107,3.5379853333333333,0.698
erlang_sensitivity,queue_aware,220669.44970964524,3.7951371333333337,0.882
erlang_sensitivity,range_aware,0.006142283774421242,6.059597733333334,1.0
erlang_sensitivity,static_queue,141337.92077418798,3.725120733333333,0.8593333333333333
queue_stress,cost_optimized,4.058181874919742,3.3862373333333333,0.8533333333333334
queue_stress,dijkstra,89.81532056044564,3.4753763333333336,0.5766666666666667
queue_stress,nearest,59.716999305236726,3.2878066666666665,0.68
queue_stress,queue_aware,1.0390058326046547,3.6301783333333333,1.0
queue_stress,range_aware,7.840717690057958e-08,5.807456666666667,1.0
queue_stress,static_queue,0.7992091641784946,3.5555483333333338,0.9566666666666667
topk_robustness,cost_optimized,0.8761125271544614,3.820179333333334,0.9066666666666666
topk_robustness,dijkstra,25.408133930675298,3.675297666666667,0.61
topk_robustness,nearest,23.204153758343438,3.5477370000000006,0.6033333333333334
topk_robustness,queue_aware,0.0768535780016961,4.2526106666666665,1.0
topk_robustness,range_aware,0.13333368280388289,5.930570333333334,0.9966666666666667
topk_robustness,static_queue,0.07286462025342061,4.190683999999999,0.9933333333333333
