variant,scenario,algorithm,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
baseline_equal,urban,nearest,0.07736584762022652,0.34,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,urban,cost_optimized,0.04785055315239444,0.04,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,urban,queue_aware,0.04611780331679242,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,urban,static_queue,0.033996491562070796,0.02,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,urban,dijkstra,0.08901231930499182,0.3,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,urban,range_aware,0.0033112582781456954,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,nearest,0.05593341686056918,0.36,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,cost_optimized,0.03141611269587946,0.07,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,queue_aware,0.030157179218084657,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,static_queue,0.028693745911141207,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,dijkstra,0.05173841059602649,0.4,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,range_aware,0.003515882648275319,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,nearest,0.019273913144037806,0.23,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,cost_optimized,0.015023857886323481,0.01,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,queue_aware,0.01015723398204201,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,static_queue,0.010806978714574724,0.01,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,dijkstra,0.03371953440066899,0.32,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,range_aware,0.0036653290659128795,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
distance_priority,urban,nearest,0.09570110630478888,0.44,1.0,1,0.7,0.2,0.1
distance_priority,urban,cost_optimized,0.054282922592552386,0.17,1.0,1,0.7,0.2,0.1
distance_priority,urban,queue_aware,0.03951382193491283,0.0,1.0,1,0.7,0.2,0.1
distance_priority,urban,static_queue,0.03485535029627048,0.0,1.0,1,0.7,0.2,0.1
distance_priority,urban,dijkstra,0.09738994935722634,0.4,1.0,1,0.7,0.2,0.1
distance_priority,urban,range_aware,0.0033112582781456954,0.0,1.0,1,0.7,0.2,0.1
distance_priority,mixed,nearest,0.040579145565510975,0.35,1.0,1,0.7,0.2,0.1
distance_priority,mixed,cost_optimized,0.04067884862586849,0.12,1.0,1,0.7,0.2,0.1
distance_priority,mixed,queue_aware,0.03214813862277374,0.0,1.0,1,0.7,0.2,0.1
distance_priority,mixed,static_queue,0.02661783181789144,0.04,1.0,1,0.7,0.2,0.1
distance_priority,mixed,dijkstra,0.04624662399644826,0.38,1.0,1,0.7,0.2,0.1
distance_priority,mixed,range_aware,0.003447072952473137,0.0,1.0,1,0.7,0.2,0.1
distance_priority,highway,nearest,0.014223618033271887,0.25,1.0,1,0.7,0.2,0.1
distance_priority,highway,cost_optimized,0.013471351823212756,0.15,1.0,1,0.7,0.2,0.1
distance_priority,highway,queue_aware,0.008147781196224644,0.0,1.0,1,0.7,0.2,0.1
distance_priority,highway,static_queue,0.009172460604281705,0.0,1.0,1,0.7,0.2,0.1
distance_priority,highway,dijkstra,0.02909717291867922,0.31,1.0,1,0.7,0.2,0.1
distance_priority,highway,range_aware,0.0038069191516965917,0.0,1.0,1,0.7,0.2,0.1
queue_stress,urban,nearest,0.05891918644387358,0.46,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,urban,cost_optimized,0.036149107840018506,0.1,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,urban,queue_aware,0.03337961973937193,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,urban,static_queue,0.02961769479557867,0.08,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,urban,dijkstra,0.06343406663114359,0.54,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,urban,range_aware,0.0033112582781456954,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,nearest,0.05141705400847353,0.32,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,cost_optimized,0.03859275382454191,0.2,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,queue_aware,0.02972404199412653,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,static_queue,0.02666069467106035,0.04,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,dijkstra,0.054105527420681296,0.39,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,mixed,range_aware,0.003446355410226577,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,nearest,0.016311617133722638,0.18,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,cost_optimized,0.015161439002498606,0.14,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,queue_aware,0.011111604960220454,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,static_queue,0.012200656883366601,0.01,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,dijkstra,0.027919547033268932,0.34,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
queue_stress,highway,range_aware,0.004066885627788867,0.0,1.6,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,urban,nearest,0.09854935351624093,0.41,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
topk_robustness,urban,cost_optimized,0.05464122571197517,0.08,1.0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
