variant,scenario,algorithm,distance_mean,distance_ci_low,distance_ci_high,wait_mean,wait_ci_low,wait_ci_high,pdelay_mean,pdelay_ci_low,pdelay_ci_high,runtime_ms_mean,reservation_accept_rate,fairness_jain,reservation_rejection_rate,load_multiplier,top_k_sampled,weights_distance,weights_wait,weights_cost
baseline_equal,highway,cost_optimized,7.263375,6.2813057500000005,8.162144450000001,0.42511891272793584,0.24103249303150284,0.6336089056319839,0.01665245637881564,0.010383998048938076,0.02431575782056355,1.7773162197408965,0.99,0.0150238578863234,0.01,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,dijkstra,7.2227879999999995,6.2824665,8.20267165,24.231540811807136,20.326171346301564,27.791998689154994,0.3098355816174664,0.26090576118851405,0.35607998747795905,52.75612448022002,0.68,0.0337195344006689,0.32,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,nearest,7.034091000000001,6.021566775000001,8.03697815,8.81258511651126,5.789713352702842,11.9252427775887,0.1408587794694803,0.10806246406336613,0.17528055606872406,0.8023354095348623,0.77,0.0192739131440378,0.23,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,queue_aware,7.390155000000002,6.4145251000000005,8.372469025,0.02457044154138585,0.012225054527776108,0.03690173998314003,0.0016064430098955004,0.0008525547103605699,0.002585834437411485,2.047226160284481,1.0,0.010157233982042,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,range_aware,9.354530000000002,8.401283374999998,10.271614125,0.053333333347802526,7.234400540522307e-12,0.1333333333478025,0.0020000000034364617,1.718293784557649e-12,0.005000000005154509,1.7087196393549675,1.0,0.0036653290659128,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,highway,static_queue,7.373175000000001,6.4434448,8.322380575,0.024502142402070562,0.011339487525912694,0.039045521510852645,0.001598595086694505,0.0008043186101454566,0.0024541196863245222,1.6279483497783076,0.99,0.0108069787145747,0.01,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,cost_optimized,2.757447000000001,2.4555466,3.0862620750000005,0.3480225423909225,0.2150569174323121,0.5074700883232516,0.01590690826687604,0.010871667656466926,0.021647875518643375,1.8414960903464817,0.93,0.0314161126958794,0.07,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,dijkstra,2.6571190000000002,2.3465286,2.9737872750000003,18.703494153934408,15.043483814685077,22.233845125125256,0.25237392095601646,0.20716047269146817,0.2971091638663107,54.07872477066121,0.6,0.0517384105960264,0.4,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,nearest,2.5115069999999995,2.2042928,2.8223297749999996,15.076017916328297,11.669203678217492,18.78191086650888,0.216303473164918,0.1753345264903197,0.2584335868738955,0.8163177904498298,0.64,0.0559334168605691,0.36,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
baseline_equal,mixed,queue_aware,3.0098789999999997,2.683979475,3.344141725,0.07689202257234583,0.05685294509213127,0.09912770544192193,0.004911046509189001,0.003651734398537456,0.006218686948100202,2.0850547101872507,1.0,0.0301571792180846,0.0,1.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
