group_a,group_b,t_stat,p_raw,p_bonferroni,cohen_d
cost_optimized,dijkstra,-18.527741935729292,1.2105333726659569e-51,1.8158000589989353e-50,-1.5127837942834215
cost_optimized,nearest,-13.91658341995923,2.525170750310543e-34,3.7877561254658146e-33,-1.136284278059219
cost_optimized,queue_aware,7.682014835394776,2.1398171776876497e-13,3.2097257665314746e-12,0.6272338847735903
cost_optimized,range_aware,8.34661990876306,1.9655740685455016e-15,2.948361102818252e-14,0.6814986617808327
cost_optimized,static_queue,7.739643918135097,1.4731428070418649e-13,2.2097142105627974e-12,0.6319392796755375
dijkstra,nearest,3.7868436302106083,0.00016801360718214192,0.0025202041077321286,0.30919448765749
dijkstra,queue_aware,18.933506286342563,4.295440338347459e-53,6.443160507521189e-52,1.545914314777231
dijkstra,range_aware,18.973772871865403,3.012562882344553e-53,4.51884432351683e-52,1.5492020677177347
dijkstra,static_queue,18.936211961429393,4.197017957880923e-53,6.2955269368213844e-52,1.5461352322229809
nearest,queue_aware,14.336263866494617,7.720514635637621e-36,1.158077195345643e-34,1.1705510430270556
nearest,range_aware,14.378610818648331,5.357619455814163e-36,8.036429183721245e-35,1.1740086571916775
nearest,static_queue,14.339090849622776,7.537134065028489e-36,1.1305701097542733e-34,1.1707818652329038
queue_aware,range_aware,3.3362731067648417,0.0009235682038914436,0.013853523058371654,0.27240555847146153
queue_aware,static_queue,0.3684580346771372,0.712662416107396,1.0,0.03008447255292321
range_aware,static_queue,-3.1447524938939013,0.0017817165933641365,0.026725748900462046,-0.256767965912831
